FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y,x,y,X2,Y2
,4080017600,101,가시리,0, ,korea,5, ,408,OEXT4080017600, ,178279.367999999990000,85346.234299999996000,178,85,126° 45' 59.839"" E,33° 21' 40.711"" N
,4070002800,101,월림,0, ,korea,5, ,407,OEXT4070002800, ,130717.062600000000000,84473.206900000005000,131,84,126° 15' 20.443"" E,33° 21' 5.132"" N
,4070002500,101,월림삼거리,0, ,korea,5, ,407,OEXT4070002500, ,130751.619100000000000,84344.857900000003000,131,84,126° 15' 21.815"" E,33° 21' 0.974"" N
,4070002100,101,신흥삼거리,0, ,korea,5, ,407,OEXT4070002100, ,123908.862500000000000,83598.357000000004000,124,84,126° 10' 57.420"" E,33° 20' 35.083"" N
,4080016400,101,하천교차로,0, ,korea,5, ,408,OEXT4080016400, ,185298.750800000010000,82620.168099999995000,185,83,126° 50' 31.509"" E,33° 20' 12.655"" N
,4080016100,101,광평교차로,0, ,korea,5, ,408,OEXT4080016100, ,139871.676299999990000,82126.849900000001000,140,82,126° 21' 15.044"" E,33° 19' 50.960"" N
,4080015900,101,금악,0, ,korea,5, ,408,OEXT4080015900, ,139946.794200000000000,82109.816699999996000,140,82,126° 21' 17.952"" E,33° 19' 50.422"" N
,4070001300,101,분재원입구,0, ,korea,5, ,407,OEXT4070001300, ,130450.540900000010000,81755.678899999999000,130,82,126° 15' 10.889"" E,33° 19' 36.871"" N
,4070001100,101,저청삼거리,0, ,korea,5, ,407,OEXT4070001100, ,130049.441900000010000,81346.909199999995000,130,81,126° 14' 55.496"" E,33° 19' 23.510"" N
,4080015400,101,관통교차로,0, ,korea,5, ,408,OEXT4080015400, ,183452.937700000010000,81821.367499999993000,183,82,126° 49' 20.186"" E,33° 19' 46.630"" N
,4080014500,101,신흥사거리,0, ,korea,5, ,408,OEXT4080014500, ,175116.010100000010000,81240.407600000006000,175,81,126° 43' 57.887"" E,33° 19' 27.196"" N
,4070001000,101,산양입구,0, ,korea,5, ,407,OEXT4070001000, ,132011.492399999990000,80696.474300000002000,132,81,126° 16' 11.525"" E,33° 19' 2.852"" N
,4080013400,101,한남삼거리,0, ,korea,5, ,408,OEXT4080013400, ,171437.410700000010000,79909.195600000006000,171,80,126° 41' 35.811"" E,33° 18' 43.659"" N
,4070000500,101,고산육거리,0, ,korea,5, ,407,OEXT4070000500, ,123604.928799999990000,78927.694699999993000,124,79,126° 10' 47.087"" E,33° 18' 3.417"" N
,4080012100,101,한지교차로,0, ,korea,5, ,408,OEXT4080012100, ,181961.341200000000000,79318.366299999994000,182,79,126° 48' 22.691"" E,33° 18' 25.300"" N
,4080011100,101,대성동,0, ,korea,5, ,408,OEXT4080011100, ,169869.371000000010000,77828.748300000007000,170,78,126° 40' 35.443"" E,33° 17' 35.977"" N
,4060010300,101,제2산록도로,0, ,korea,5, ,406,OEXT4060010300, ,158659.670699999990000,77710.847899999993000,159,78,126° 33' 22.214"" E,33° 17' 30.813"" N
,4080010900,101,서광사거리,0, ,korea,5, ,408,OEXT4080010900, ,137059.440800000010000,77459.500599999999000,137,77,126° 19' 27.480"" E,33° 17' 18.895"" N
,4080010300,101,무릉2리,0, ,korea,5, ,408,OEXT4080010300, ,127787.203200000000000,77236.375300000000000,128,77,126° 13' 29.218"" E,33° 17' 9.562"" N
,4080010000,101,신도3리,0, ,korea,5, ,408,OEXT4080010000, ,124238.339200000000000,77108.704800000007000,124,77,126° 11' 12.116"" E,33° 17' 4.542"" N
,4080009800,101,서광서리사거리,0, ,korea,5, ,408,OEXT4080009800, ,134960.589600000010000,77184.022100000002000,135,77,126° 18' 6.440"" E,33° 17' 9.506"" N
,4080009700,101,서광동리,0, ,korea,5, ,408,OEXT4080009700, ,137734.227000000010000,77196.334300000002000,138,77,126° 19' 53.622"" E,33° 17' 10.495"" N
,4080009600,101,서광서리사거리,0, ,korea,5, ,408,OEXT4080009600, ,134940.301199999990000,77167.412599999996000,135,77,126° 18' 5.660"" E,33° 17' 8.962"" N
,4080008800,101,상위미,0, ,korea,5, ,408,OEXT4080008800, ,167901.091500000010000,77285.081800000000000,168,77,126° 39' 19.439"" E,33° 17' 18.126"" N
,4080008000,101,하례입구,0, ,korea,5, ,408,OEXT4080008000, ,164617.297400000010000,76908.869699999996000,165,77,126° 37' 12.582"" E,33° 17' 5.545"" N
,4080007800,101,신례초등학교앞,0, ,korea,5, ,408,OEXT4080007800, ,165817.021100000010000,76865.524500000000000,166,77,126° 37' 58.952"" E,33° 17' 4.277"" N
,4080005900,101,무릉2리,0, ,korea,5, ,408,OEXT4080005900, ,129630.021299999990000,75793.259900000005000,130,76,126° 14' 40.835"" E,33° 16' 23.163"" N
,4080005000,101,구역리,0, ,korea,5, ,408,OEXT4080005000, ,132791.200900000000000,75545.339900000006000,133,76,126° 16' 43.043"" E,33° 16' 15.841"" N
,4080004000,101,위미입구,0, ,korea,5, ,408,OEXT4080004000, ,167148.904899999990000,75388.220000000001000,167,75,126° 38' 50.617"" E,33° 16' 16.476"" N
,4080003800,101,신평,0, ,korea,5, ,408,OEXT4080003800, ,130962.893400000000000,74872.386400000003000,131,75,126° 15' 32.587"" E,33° 15' 53.584"" N
,4060005800,101,색달동,0, ,korea,5, ,406,OEXT4060005800, ,145265.864600000000000,74434.486300000004000,145,74,126° 24' 45.283"" E,33° 15' 42.323"" N
